Data,Model,Entropy,d,M,ARI,Series Time,Parallel Time
1,cPGMM,0,d = 10,10,1,2.329765209,0.98897415
1,cPGMM,1,d = 10,10,1,2.309654093,0.968863034
1,ccPGMM,0,d = 10,10,1,2.050193524,0.767768681
1,ccPGMM,1,d = 10,10,1,2.051083565,0.768658721
1,cPGMM,0,d = 10,25,1,4.239957631,1.224772851
1,cPGMM,1,d = 10,25,1,4.225835343,1.210650563
1,ccPGMM,0,d = 10,25,1,4.12720956,1.041118149
1,ccPGMM,1,d = 10,25,1,4.115242497,1.029151086
1,cPGMM,0,d = 10,50,1,8.627217555,1.821829867
1,cPGMM,1,d = 10,50,1,8.673679841,1.868292153
1,ccPGMM,0,d = 10,50,1,8.865475221,1.677747234
1,ccPGMM,1,d = 10,50,1,8.902275419,1.714547431
1,cPGMM,0,d = 10,100,1,16.76734258,2.963858898
1,cPGMM,1,d = 10,100,1,16.88008835,3.076604668
1,ccPGMM,0,d = 10,100,1,17.33326199,2.83534627
1,ccPGMM,1,d = 10,100,1,17.42863561,2.930719884
1,cPGMM,0,d = 20,10,1,2.48423177,0.651945114
1,cPGMM,1,d = 20,10,1,2.371244256,0.5389576
1,ccPGMM,0,d = 20,10,1,2.425764032,0.57034692
1,ccPGMM,1,d = 20,10,1,2.363400626,0.507983514
1,cPGMM,0,d = 20,25,1,7.137736193,1.180592529
1,cPGMM,1,d = 20,25,1,6.98001763,1.022873966
1,ccPGMM,0,d = 20,25,1,7.424710504,1.264850303
1,ccPGMM,1,d = 20,25,1,7.2059623,1.046102099
1,cPGMM,0,d = 20,50,1,15.59755971,2.162574033
1,cPGMM,1,d = 20,50,1,15.51512869,2.080143015
1,ccPGMM,0,d = 20,50,1,15.91741107,2.165984503
1,ccPGMM,1,d = 20,50,1,15.83591368,2.084487116
1,cPGMM,0,d = 20,100,1,29.10693152,3.99362336
1,cPGMM,1,d = 20,100,1,29.11010916,3.996800999
1,ccPGMM,0,d = 20,100,1,29.66426404,3.974707552
1,ccPGMM,1,d = 20,100,1,29.71019181,4.020635315
1,PGMM,0,PGMM,PGMM,1,11.60205128,11.60205128
1,GMM,0,GMM,GMM,0.966571786,12.32541794,12.32541794
1,DBSCAN,0,DBSCAN,DBSCAN,0.992036672,0.043702916,0.043702916
1,PGMM,1,PGMM,PGMM,1,11.60205128,11.60205128
1,GMM,1,GMM,GMM,0.966571786,12.32541794,12.32541794
1,DBSCAN,1,DBSCAN,DBSCAN,0.992036672,0.043702916,0.043702916
2,cPGMM,0,d = 10,10,1,2.450491639,1.045918119
2,cPGMM,1,d = 10,10,1,2.418266237,1.013692717
2,ccPGMM,0,d = 10,10,1,2.195978745,0.776370112
2,ccPGMM,1,d = 10,10,1,2.1824417,0.762833067
2,cPGMM,0,d = 10,25,1,5.174910565,1.360233653
2,cPGMM,1,d = 10,25,1,5.176151296,1.361474383
2,ccPGMM,0,d = 10,25,1,5.083124097,1.15430758
2,ccPGMM,1,d = 10,25,1,5.089369047,1.160552529
2,cPGMM,0,d = 10,50,1,10.26462118,2.040350835
2,cPGMM,1,d = 10,50,1,10.29911202,2.07484167
2,ccPGMM,0,d = 10,50,1,10.70353016,1.909253073
2,ccPGMM,1,d = 10,50,1,10.71390602,1.919628934
2,cPGMM,0,d = 10,100,1,21.15250431,3.411149863
2,cPGMM,1,d = 10,100,1,21.22237014,3.481015702
2,ccPGMM,0,d = 10,100,1,21.88374189,3.288429399
2,ccPGMM,1,d = 10,100,1,21.94997157,3.354659084
2,cPGMM,0,d = 20,10,1,2.396458232,0.689758766
2,cPGMM,1,d = 20,10,1,2.177891747,0.47119228
2,ccPGMM,0,d = 20,10,1,2.318724096,0.564344299
2,ccPGMM,1,d = 20,10,1,2.198486781,0.444106984
2,cPGMM,0,d = 20,25,1,7.375101101,1.279934251
2,cPGMM,1,d = 20,25,1,7.217948186,1.122781336
2,ccPGMM,0,d = 20,25,1,7.412299975,1.228871532
2,ccPGMM,1,d = 20,25,1,7.274175199,1.090746756
2,cPGMM,0,d = 20,50,1,15.51442515,2.277175248
2,cPGMM,1,d = 20,50,1,15.3863741,2.149124197
2,ccPGMM,0,d = 20,50,1,15.90093897,2.245743334
2,ccPGMM,1,d = 20,50,1,15.7449303,2.08973467
2,cPGMM,0,d = 20,100,1,28.16891415,3.892388749
2,cPGMM,1,d = 20,100,1,28.0747601,3.798234697
2,ccPGMM,0,d = 20,100,1,28.86133643,3.924112884
2,ccPGMM,1,d = 20,100,1,28.68546741,3.748243868
2,PGMM,0,PGMM,PGMM,1,16.71764611,16.71764611
2,GMM,0,GMM,GMM,0.863892529,46.13609722,46.13609722
2,DBSCAN,0,DBSCAN,DBSCAN,0.98513712,0.033810031,0.033810031
2,PGMM,1,PGMM,PGMM,1,16.71764611,16.71764611
2,GMM,1,GMM,GMM,0.863892529,46.13609722,46.13609722
2,DBSCAN,1,DBSCAN,DBSCAN,0.98513712,0.033810031,0.033810031
3,cPGMM,0,d = 10,10,1,2.246574879,0.902352754
3,cPGMM,1,d = 10,10,1,2.088649265,0.744427141
3,ccPGMM,0,d = 10,10,1,2.018355783,0.714581005
3,ccPGMM,1,d = 10,10,1,1.944399949,0.640625171
3,cPGMM,0,d = 10,25,1,4.178005222,1.240394286
3,cPGMM,1,d = 10,25,1,4.196465472,1.258854536
3,ccPGMM,0,d = 10,25,1,4.084192669,1.070736603
3,ccPGMM,1,d = 10,25,1,4.097493366,1.0840373
3,cPGMM,0,d = 10,50,1,9.958662121,2.062560364
3,cPGMM,1,d = 10,50,1,9.986234772,2.090133015
3,ccPGMM,0,d = 10,50,1,10.18867024,1.926403467
3,ccPGMM,1,d = 10,50,1,10.19099539,1.928728616
3,cPGMM,0,d = 10,100,1,19.61367485,3.285837201
3,cPGMM,1,d = 10,100,1,19.66476573,3.336928082
3,ccPGMM,0,d = 10,100,1,19.98912744,3.151254682
3,ccPGMM,1,d = 10,100,1,20.06782099,3.229948235
3,cPGMM,0,d = 20,10,1,2.008242687,0.516417336
3,cPGMM,1,d = 20,10,1,1.939404523,0.447579173
3,ccPGMM,0,d = 20,10,1,1.966718674,0.47784787
3,ccPGMM,1,d = 20,10,1,1.937748206,0.448877402
3,cPGMM,0,d = 20,25,1,6.068614658,1.063364553
3,cPGMM,1,d = 20,25,1,5.968143344,0.96289324
3,ccPGMM,0,d = 20,25,1,6.15865585,1.023158149
3,ccPGMM,1,d = 20,25,1,6.104374901,0.9688772
3,cPGMM,0,d = 20,50,1,15.15179543,2.096952804
3,cPGMM,1,d = 20,50,1,15.09338214,2.038539521
3,ccPGMM,0,d = 20,50,1,15.57106818,2.081378806
3,ccPGMM,1,d = 20,50,1,15.57474676,2.085057386
3,cPGMM,0,d = 20,100,1,29.12471776,3.855681749
3,cPGMM,1,d = 20,100,1,29.14016604,3.871130033
3,ccPGMM,0,d = 20,100,1,30.04531981,3.894290463
3,ccPGMM,1,d = 20,100,1,30.04133965,3.890310303
3,PGMM,0,PGMM,PGMM,1,13.70997383,13.70997383
3,GMM,0,GMM,GMM,0.883043142,23.82866955,23.82866955
3,DBSCAN,0,DBSCAN,DBSCAN,0.995249055,0.036163517,0.036163517
3,PGMM,1,PGMM,PGMM,1,13.70997383,13.70997383
3,GMM,1,GMM,GMM,0.883043142,23.82866955,23.82866955
3,DBSCAN,1,DBSCAN,DBSCAN,0.995249055,0.036163517,0.036163517
4,cPGMM,0,d = 10,10,1,2.309492421,0.995505063
4,cPGMM,1,d = 10,10,1,2.291037905,0.977050547
4,ccPGMM,0,d = 10,10,1,2.033045046,0.757528234
4,ccPGMM,1,d = 10,10,1,2.014606261,0.739089449
4,cPGMM,0,d = 10,25,1,5.467432098,1.336336251
4,cPGMM,1,d = 10,25,1,5.477387214,1.346291367
4,ccPGMM,0,d = 10,25,1,5.336409394,1.135736314
4,ccPGMM,1,d = 10,25,1,5.338578928,1.137905848
4,cPGMM,0,d = 10,50,1,9.518380014,1.879676922
4,cPGMM,1,d = 10,50,1,9.563463112,1.92476002
4,ccPGMM,0,d = 10,50,1,9.613369854,1.72250435
4,ccPGMM,1,d = 10,50,1,9.655809792,1.764944287
4,cPGMM,0,d = 10,100,1,19.92905418,3.212846855
4,cPGMM,1,d = 10,100,1,20.02253536,3.306328034
4,ccPGMM,0,d = 10,100,1,20.45756123,3.105058082
4,ccPGMM,1,d = 10,100,1,20.51570548,3.163202337
4,cPGMM,0,d = 20,10,1,3.158831267,0.969663751
4,cPGMM,1,d = 20,10,1,2.828413777,0.639246261
4,ccPGMM,0,d = 20,10,1,3.088878731,0.848171731
4,ccPGMM,1,d = 20,10,1,2.776363297,0.535656297
4,cPGMM,0,d = 20,25,1,8.712604924,1.619838079
4,cPGMM,1,d = 20,25,1,8.53257949,1.439812644
4,ccPGMM,0,d = 20,25,1,8.631633258,1.406687621
4,ccPGMM,1,d = 20,25,1,8.530036573,1.305090936
4,cPGMM,0,d = 20,50,1,16.01142347,2.518104053
4,cPGMM,1,d = 20,50,1,15.92462556,2.431306136
4,ccPGMM,0,d = 20,50,1,16.23168908,2.395756535
4,ccPGMM,1,d = 20,50,1,16.10668379,2.270751254
4,cPGMM,0,d = 20,100,1,32.16805727,4.511580785
4,cPGMM,1,d = 20,100,1,32.11138037,4.454903881
4,ccPGMM,0,d = 20,100,1,32.3077006,4.293953001
4,ccPGMM,1,d = 20,100,1,32.1508898,4.137142201
4,PGMM,0,PGMM,PGMM,1,12.76598318,12.76598318
4,GMM,0,GMM,GMM,0.789287606,25.0133805,25.0133805
4,DBSCAN,0,DBSCAN,DBSCAN,0.986669385,0.033443749,0.033443749
4,PGMM,1,PGMM,PGMM,1,12.76598318,12.76598318
4,GMM,1,GMM,GMM,0.789287606,25.0133805,25.0133805
4,DBSCAN,1,DBSCAN,DBSCAN,0.986669385,0.033443749,0.033443749
5,cPGMM,0,d = 10,10,1,3.687868428,1.146342146
5,cPGMM,1,d = 10,10,1,3.645213262,1.10368698
5,ccPGMM,0,d = 10,10,1,3.26606787,0.900840549
5,ccPGMM,1,d = 10,10,1,3.266076557,0.900849235
5,cPGMM,0,d = 10,25,1,7.35490975,1.5746527
5,cPGMM,1,d = 10,25,1,7.372791481,1.592534431
5,ccPGMM,0,d = 10,25,1,7.406616239,1.424415616
5,ccPGMM,1,d = 10,25,1,7.433345203,1.45114458
5,cPGMM,0,d = 10,50,1,14.39754477,2.347358787
5,cPGMM,1,d = 10,50,1,14.42813436,2.377948372
5,ccPGMM,0,d = 10,50,1,14.72476955,2.262478785
5,ccPGMM,1,d = 10,50,1,14.73965952,2.277368752
5,cPGMM,0,d = 10,100,1,30.1059435,4.254090099
5,cPGMM,1,d = 10,100,1,30.17216335,4.320309945
5,ccPGMM,0,d = 10,100,1,30.79593537,4.221420805
5,ccPGMM,1,d = 10,100,1,30.8496917,4.275177133
5,cPGMM,0,d = 20,10,1,6.90233045,1.368498305
5,cPGMM,1,d = 20,10,1,6.56200068,1.028168535
5,ccPGMM,0,d = 20,10,1,7.020330147,1.323218048
5,ccPGMM,1,d = 20,10,1,6.766866283,1.069754183
5,cPGMM,0,d = 20,25,1,17.54602141,2.467107328
5,cPGMM,1,d = 20,25,1,17.29923182,2.220317745
5,ccPGMM,0,d = 20,25,1,17.86955596,2.416388098
5,ccPGMM,1,d = 20,25,1,17.72933079,2.27616293
5,cPGMM,0,d = 20,50,1,37.56792414,4.425690301
5,cPGMM,1,d = 20,50,1,37.53655457,4.39432073
5,ccPGMM,0,d = 20,50,1,38.62783365,4.485739716
5,ccPGMM,1,d = 20,50,1,38.57944932,4.437355387
5,cPGMM,0,d = 20,100,1,73.13704322,8.248346488
5,cPGMM,1,d = 20,100,1,73.01222482,8.123528087
5,ccPGMM,0,d = 20,100,1,74.20029,8.222848384
5,ccPGMM,1,d = 20,100,1,74.22657449,8.24913288
5,PGMM,0,PGMM,PGMM,1,20.74218158,20.74218158
5,GMM,0,GMM,GMM,0.868896158,28.96349923,28.96349923
5,DBSCAN,0,DBSCAN,DBSCAN,0.979880951,0.03390735,0.03390735
5,PGMM,1,PGMM,PGMM,1,20.74218158,20.74218158
5,GMM,1,GMM,GMM,0.868896158,28.96349923,28.96349923
5,DBSCAN,1,DBSCAN,DBSCAN,0.979880951,0.03390735,0.03390735
